# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.24932189280976758,-0.30431682745754074,-1.3499966,0.7495117,0,false,,,,,1464578108230,???
serverInfo,,,,,,,,,92,19.99600079984003,1464578108230,0
animation,,,,,,,,,,,1464578108261,31
attack,,,,,,,,,,,1464578108261,0
attackInfo,,,,,,,0.9848591792515893,2.9766267698935596,,,1464578108261,0
serverInfo,,,,,,,,,92,19.87281399046105,1464578108261,0
animation,,,,,,,,,,,1464578108261,0
attack,,,,,,,,,,,1464578108261,0
attackInfo,,,,,,,0.9848591792515893,2.9766267698935596,,,1464578108261,0
serverInfo,,,,,,,,,92,19.87281399046105,1464578108261,0
animation,,,,,,,,,,,1464578108261,0
attack,,,,,,,,,,,1464578108261,0
attackInfo,,,,,,,0.9848591792515893,2.9766267698935596,,,1464578108261,0
serverInfo,,,,,,,,,92,19.87281399046105,1464578108261,0
animation,,,,,,,,,,,1464578108261,0
attack,,,,,,,,,,,1464578108261,0
attackInfo,,,,,,,0.9848591792515893,2.9766267698935596,,,1464578108261,0
serverInfo,,,,,,,,,92,19.87281399046105,1464578108261,0
animation,,,,,,,,,,,1464578108261,0
attack,,,,,,,,,,,1464578108261,0
attackInfo,,,,,,,0.9848591792515893,2.9766267698935596,,,1464578108261,0
serverInfo,,,,,,,,,92,19.87281399046105,1464578108261,0
animation,,,,,,,,,,,1464578108261,0
attack,,,,,,,,,,,1464578108261,0
attackInfo,,,,,,,0.9848591792515893,2.9766267698935596,,,1464578108261,0
serverInfo,,,,,,,,,92,19.87281399046105,1464578108261,0
move,0.1726646553804514,-0.37663049823865435,-0.5999985,0.14990234,0,false,,,,,1464578108280,19
serverInfo,,,,,,,,,92,19.99600079984003,1464578108280,0
animation,,,,,,,,,,,1464578108320,40
attack,,,,,,,,,,,1464578108320,0
attackInfo,,,,,,,0.9601016380131621,2.8191991202709974,,,1464578108320,0
serverInfo,,,,,,,,,92,19.8373338623289,1464578108320,0
animation,,,,,,,,,,,1464578108320,0
attack,,,,,,,,,,,1464578108320,0
attackInfo,,,,,,,0.9601016380131621,2.8191991202709974,,,1464578108320,0
serverInfo,,,,,,,,,92,19.8373338623289,1464578108320,0
animation,,,,,,,,,,,1464578108321,1
attack,,,,,,,,,,,1464578108321,0
attackInfo,,,,,,,0.9601016380131621,2.8191991202709974,,,1464578108321,0
serverInfo,,,,,,,,,92,19.833399444664817,1464578108321,0
animation,,,,,,,,,,,1464578108321,0
attack,,,,,,,,,,,1464578108321,0
attackInfo,,,,,,,0.9601016380131621,2.8191991202709974,,,1464578108321,0
serverInfo,,,,,,,,,92,19.833399444664817,1464578108321,0
animation,,,,,,,,,,,1464578108321,0
attack,,,,,,,,,,,1464578108321,0
attackInfo,,,,,,,0.9601016380131621,2.8191991202709974,,,1464578108321,0
serverInfo,,,,,,,,,92,19.833399444664817,1464578108321,0
animation,,,,,,,,,,,1464578108321,0
attack,,,,,,,,,,,1464578108321,0
attackInfo,,,,,,,0.9601016380131621,2.8191991202709974,,,1464578108321,0
serverInfo,,,,,,,,,92,19.833399444664817,1464578108321,0
animation,,,,,,,,,,,1464578108321,0
attack,,,,,,,,,,,1464578108321,0
attackInfo,,,,,,,0.9601016380131621,2.8191991202709974,,,1464578108321,0
serverInfo,,,,,,,,,92,19.833399444664817,1464578108321,0
animation,,,,,,,,,,,1464578108321,0
attack,,,,,,,,,,,1464578108321,0
attackInfo,,,,,,,0.9601016380131621,2.8191991202709974,,,1464578108321,0
serverInfo,,,,,,,,,92,19.833399444664817,1464578108321,0
move,0.13080980253777597,-0.1040803780930446,0.0,7920.0,0,false,,,,,1464578108329,8
serverInfo,,,,,,,,,92,20.0,1464578108329,0
animation,,,,,,,,,,,1464578108362,33
attack,,,,,,,,,,,1464578108362,0
attackInfo,,,,,,,0.9497914901210618,2.732868191821531,,,1464578108362,0
serverInfo,,,,,,,,,92,19.868865487780646,1464578108362,0
animation,,,,,,,,,,,1464578108362,0
attack,,,,,,,,,,,1464578108362,0
attackInfo,,,,,,,0.9497914901210618,2.732868191821531,,,1464578108362,0
serverInfo,,,,,,,,,92,19.868865487780646,1464578108362,0
animation,,,,,,,,,,,1464578108362,0
attack,,,,,,,,,,,1464578108362,0
attackInfo,,,,,,,0.9497914901210618,2.732868191821531,,,1464578108362,0
serverInfo,,,,,,,,,92,19.868865487780646,1464578108362,0
animation,,,,,,,,,,,1464578108362,0
attack,,,,,,,,,,,1464578108362,0
attackInfo,,,,,,,0.9497914901210618,2.732868191821531,,,1464578108362,0
serverInfo,,,,,,,,,92,19.868865487780646,1464578108362,0
animation,,,,,,,,,,,1464578108362,0
attack,,,,,,,,,,,1464578108362,0
attackInfo,,,,,,,0.9497914901210618,2.732868191821531,,,1464578108362,0
serverInfo,,,,,,,,,92,19.868865487780646,1464578108362,0
animation,,,,,,,,,,,1464578108362,0
attack,,,,,,,,,,,1464578108362,0
attackInfo,,,,,,,0.9497914901210618,2.732868191821531,,,1464578108362,0
serverInfo,,,,,,,,,92,19.868865487780646,1464578108362,0
move,0.47537921198827604,0.41999998688697815,0.29999924,-7920.0,0,true,,,,,1464578108379,17
serverInfo,,,,,,,,,92,20.0,1464578108379,0
jump,,,,,,,,,,,1464578108380,1
animation,,,,,,,,,,,1464578108409,29
attack,,,,,,,,,,,1464578108409,0
