# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
animation,,,,,,,,,,,1464577609433,???
move,0.0,0.0,-2.004654,359.75378,0,false,,,,,1464577609496,63
serverInfo,,,,,,,,,141,19.99600079984003,1464577609496,0
animation,,,,,,,,,,,1464577609564,68
attack,,,,,,,,,,,1464577609564,0
attackInfo,,,,,,,0.9994679466846424,3.5132753310432876,,,1464577609564,0
serverInfo,,,,,,,,,147,19.924287706714484,1464577609564,0
move,0.0,0.0,2.7294655,-360.16956,0,false,,,,,1464577609596,32
serverInfo,,,,,,,,,147,19.99600079984003,1464577609596,0
animation,,,,,,,,,,,1464577609631,35
attack,,,,,,,,,,,1464577609631,0
attackInfo,,,,,,,0.9968958862502142,3.5267592151354634,,,1464577609631,0
serverInfo,,,,,,,,,147,19.857029388403497,1464577609631,0
move,0.12424999999999997,0.2763750000000016,8.692385,2.1142578,0,false,,,,,1464577609696,65
serverInfo,,,,,,,,,147,19.99600079984003,1464577609696,0
jump,,,,,,,,,,,1464577609696,0
animation,,,,,,,,,,,1464577609743,47
attack,,,,,,,,,,,1464577609743,0
attackInfo,,,,,,,0.9888720150825272,3.480808545134454,,,1464577609743,0
serverInfo,,,,,,,,,147,19.80982567353407,1464577609743,0
move,0.06784050787985052,0.19244750374555508,3.3083916,1.4819336,0,false,,,,,1464577609746,3
serverInfo,,,,,,,,,147,19.99600079984003,1464577609746,0
move,0.061734863949851615,0.11019855581540838,-0.37853622,1.2785034,0,false,,,,,1464577609796,50
serverInfo,,,,,,,,,147,19.99600079984003,1464577609796,0
animation,,,,,,,,,,,1464577609835,39
attack,,,,,,,,,,,1464577609835,0
attackInfo,,,,,,,0.9977035072450926,3.410786596194544,,,1464577609835,0
serverInfo,,,,,,,,,147,19.841269841269842,1464577609835,0
move,0.056178727813431806,0.029594585275091845,-1.6298876,1.2403564,0,false,,,,,1464577609846,11
serverInfo,,,,,,,,,147,19.99600079984003,1464577609846,0
move,0.05112264378356457,-0.04939730739181414,-2.9304647,1.2087402,0,false,,,,,1464577609896,50
serverInfo,,,,,,,,,147,19.99600079984003,1464577609896,0
animation,,,,,,,,,,,1464577609924,28
attack,,,,,,,,,,,1464577609924,0
attackInfo,,,,,,,0.9872654321616762,3.2341503877220075,,,1464577609924,0
serverInfo,,,,,,,,,147,19.884668920262477,1464577609924,0
move,0.0465216071837915,-0.12680936371203444,-2.3223,1.3078613,0,false,,,,,1464577609946,22
serverInfo,,,,,,,,,147,19.99600079984003,1464577609946,0
move,0.0423346637573232,-0.20267318038236937,-3.489149,1.2434692,0,false,,,,,1464577609996,50
serverInfo,,,,,,,,,147,19.99600079984003,1464577609996,0
animation,,,,,,,,,,,1464577610050,54
attack,,,,,,,,,,,1464577610050,0
attackInfo,,,,,,,0.9964540622455937,2.8300153623785436,,,1464577610050,0
serverInfo,,,,,,,,,147,19.980019980019982,1464577610050,0
move,0.038524545129440924,-0.22973579334983896,-2.1051636,1.1696777,0,false,,,,,1464577610096,46
serverInfo,,,,,,,,,147,19.99600079984003,1464577610096,0
animation,,,,,,,,,,,1464577610124,28
attack,,,,,,,,,,,1464577610124,0
attackInfo,,,,,,,0.9966486232563452,2.9244490502502565,,,1464577610124,0
serverInfo,,,,,,,,,147,19.884668920262477,1464577610124,0
move,0.2336986453461094,0.2763750000000016,9.287991,4.6848755,0,false,,,,,1464577610196,72
serverInfo,,,,,,,,,147,19.99600079984003,1464577610196,0
jump,,,,,,,,,,,1464577610196,0
animation,,,,,,,,,,,1464577610234,38
attack,,,,,,,,,,,1464577610234,0
attackInfo,,,,,,,0.9886447561422753,3.011950919560175,,,1464577610234,0
serverInfo,,,,,,,,,147,19.845207382417147,1464577610234,0
move,0.09800701138377121,0.19244750374555508,3.8801928,1.8710938,0,false,,,,,1464577610246,12
serverInfo,,,,,,,,,147,19.99600079984003,1464577610246,0
animation,,,,,,,,,,,1464577610334,88
attack,,,,,,,,,,,1464577610334,0
attackInfo,,,,,,,0.9945986306314628,2.9025655904756635,,,1464577610334,0
serverInfo,,,,,,,,,147,19.845207382417147,1464577610334,0
move,0.08918638292956871,0.11019855581540838,0.9953623,1.5591431,0,false,,,,,1464577610346,12
serverInfo,,,,,,,,,147,19.99600079984003,1464577610346,0
move,0.08115961080491019,0.029594585275091845,-1.3632088,1.3518677,0,false,,,,,1464577610346,0
serverInfo,,,,,,,,,147,19.99600079984003,1464577610346,0
animation,,,,,,,,,,,1464577610431,85
attack,,,,,,,,,,,1464577610431,0
attackInfo,,,,,,,0.994724635371775,2.8809733793767722,,,1464577610431,0
serverInfo,,,,,,,,,147,19.857029388403497,1464577610431,0
move,0.07385524796096377,-0.04939730739181414,-2.7623959,1.2740479,0,false,,,,,1464577610446,15
serverInfo,,,,,,,,,147,19.99600079984003,1464577610446,0
move,0.06720827758140757,-0.12680936371203444,-4.1892033,1.2075806,0,false,,,,,1464577610446,0
serverInfo,,,,,,,,,147,19.99600079984003,1464577610446,0
move,0.061159534361692636,-0.20267318038236937,-3.5255718,0.76776123,0,false,,,,,1464577610496,50
