# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.31390986428475376,0.0,0.0,0.0,0,true,,,,,1464576985372,???
serverInfo,,,,,,,,,132,19.99600079984003,1464576985372,0
animation,,,,,,,,,,,1464576985432,60
attack,,,,,,,,,,,1464576985432,0
attackInfo,,,,,,,0.6908879948557051,3.4176285528599455,,,1464576985432,0
serverInfo,,,,,,,,,132,19.95609658750748,1464576985432,0
animation,,,,,,,,,,,1464576985461,29
attack,,,,,,,,,,,1464576985461,0
attackInfo,,,,,,,0.6908879948557051,3.4176285528599455,,,1464576985461,0
serverInfo,,,,,,,,,132,19.841269841269842,1464576985461,0
move,0.2825915802708705,0.0,0.0,0.0,0,true,,,,,1464576985472,11
serverInfo,,,,,,,,,132,19.99600079984003,1464576985472,0
move,0.2723317092361963,0.0,0.0,0.0,0,true,,,,,1464576985472,0
serverInfo,,,,,,,,,132,19.99600079984003,1464576985472,0
animation,,,,,,,,,,,1464576985509,37
attack,,,,,,,,,,,1464576985509,0
attackInfo,,,,,,,0.5887890132534496,3.3437114299913655,,,1464576985509,0
serverInfo,,,,,,,,,132,19.84914648670107,1464576985509,0
move,0.2689705750948461,0.0,0.0,0.0,0,true,,,,,1464576985522,13
serverInfo,,,,,,,,,132,19.99600079984003,1464576985522,0
animation,,,,,,,,,,,1464576985558,36
attack,,,,,,,,,,,1464576985558,0
attackInfo,,,,,,,0.5989348834539582,4.409208353016406,,,1464576985558,0
serverInfo,,,,,,,,,132,19.85308715505261,1464576985558,0
move,0.22664441032695493,0.0,0.0,0.0,0,true,,,,,1464576985572,14
serverInfo,,,,,,,,,132,19.99600079984003,1464576985572,0
animation,,,,,,,,,,,1464576985637,65
attack,,,,,,,,,,,1464576985637,0
attackInfo,,,,,,,0.6085301545658632,4.942331691661807,,,1464576985637,0
serverInfo,,,,,,,,,132,19.93620414673046,1464576985637,0
animation,,,,,,,,,,,1464576985658,21
attack,,,,,,,,,,,1464576985658,0
attackInfo,,,,,,,0.6085301545658632,4.942331691661807,,,1464576985658,0
serverInfo,,,,,,,,,132,19.85308715505261,1464576985658,0
move,0.2121507276795025,0.0,0.29999924,-719.69995,0,true,,,,,1464576985672,14
serverInfo,,,,,,,,,132,19.99600079984003,1464576985672,0
move,0.1344808549388543,0.0,9.450001,27.900024,0,true,,,,,1464576985672,0
serverInfo,,,,,,,,,132,19.99600079984003,1464576985672,0
animation,,,,,,,,,,,1464576985708,36
attack,,,,,,,,,,,1464576985708,0
