# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.059104144895410826,0.0,1.5337086,2.343872,0,false,,,,,1464577523542,???
serverInfo,,,,,,,,,147,20.0,1464577523542,0
move,0.09776683120745133,0.0,1.4702892,1.3823853,0,false,,,,,1464577523592,50
serverInfo,,,,,,,,,147,20.0,1464577523592,0
animation,,,,,,,,,,,1464577523647,55
attack,,,,,,,,,,,1464577523647,0
attackInfo,,,,,,,0.9814973338777802,3.4364623046759304,,,1464577523647,0
serverInfo,,,,,,,,,147,19.980019980019982,1464577523647,0
move,0.1376721020154008,0.0,1.9749241,1.3876343,0,false,,,,,1464577523692,45
serverInfo,,,,,,,,,147,20.0,1464577523692,0
move,0.13476259290897552,0.0,1.9873657,1.051239,0,false,,,,,1464577523692,0
serverInfo,,,,,,,,,147,20.0,1464577523692,0
animation,,,,,,,,,,,1464577523768,76
attack,,,,,,,,,,,1464577523768,0
attackInfo,,,,,,,0.9160244539001856,3.7928851867678794,,,1464577523768,0
serverInfo,,,,,,,,,147,19.896538002387587,1464577523768,0
move,0.1425505448336768,0.0,2.3754063,1.179779,0,false,,,,,1464577523792,24
serverInfo,,,,,,,,,147,20.0,1464577523792,0
move,0.16749381356973103,0.0,3.2762585,1.6217651,0,false,,,,,1464577523792,0
serverInfo,,,,,,,,,147,20.0,1464577523792,0
animation,,,,,,,,,,,1464577523818,26
attack,,,,,,,,,,,1464577523818,0
attackInfo,,,,,,,0.8538170647906808,3.711502536328874,,,1464577523818,0
serverInfo,,,,,,,,,147,19.896538002387587,1464577523818,0
move,0.26890498683246733,-0.07840000152587834,1.8816738,-1.6608887,0,false,,,,,1464577523842,24
serverInfo,,,,,,,,,147,20.0,1464577523842,0
move,0.12358396067925881,-0.15523200451659847,-11.389866,-2.4918823,0,false,,,,,1464577523892,50
serverInfo,,,,,,,,,147,20.0,1464577523892,0
animation,,,,,,,,,,,1464577523946,54
attack,,,,,,,,,,,1464577523946,0
attackInfo,,,,,,,0.917930888001916,4.306393334839753,,,1464577523946,0
serverInfo,,,,,,,,,147,19.984012789768187,1464577523946,0
move,0.14795208421990758,-0.23052736891296632,-14.435759,-2.1135254,0,false,,,,,1464577523992,46
serverInfo,,,,,,,,,147,20.0,1464577523992,0
move,0.09871408349172128,-0.30431682745754074,-13.928253,-0.91485596,0,false,,,,,1464577523992,0
serverInfo,,,,,,,,,147,20.0,1464577523992,0
animation,,,,,,,,,,,1464577524029,37
attack,,,,,,,,,,,1464577524029,0
attackInfo,,,,,,,0.9997828212483623,4.393485849097681,,,1464577524029,0
serverInfo,,,,,,,,,147,19.85308715505261,1464577524029,0
move,0.10751579165180658,-0.23152379758701613,-8.518347,-0.7734375,0,false,,,,,1464577524042,13
serverInfo,,,,,,,,,147,20.0,1464577524042,0
move,0.14475488371867584,0.0,-2.3882751,-0.11541748,0,false,,,,,1464577524092,50
serverInfo,,,,,,,,,147,20.0,1464577524092,0
animation,,,,,,,,,,,1464577524154,62
attack,,,,,,,,,,,1464577524154,0
attackInfo,,,,,,,0.9721662079535299,5.360457340549327,,,1464577524154,0
serverInfo,,,,,,,,,147,19.952114924181966,1464577524154,0
move,0.16705938749766425,0.0,-0.5988941,-0.052124023,0,false,,,,,1464577524192,38
serverInfo,,,,,,,,,147,20.0,1464577524192,0
move,0.14192171119156605,0.0,-0.3867092,0.04095459,0,false,,,,,1464577524192,0
serverInfo,,,,,,,,,147,20.0,1464577524192,0
animation,,,,,,,,,,,1464577524230,38
attack,,,,,,,,,,,1464577524230,0
attackInfo,,,,,,,0.975612028584474,5.695745347708217,,,1464577524230,0
serverInfo,,,,,,,,,147,19.84914648670107,1464577524230,0
move,0.14360529084518703,0.0,2.0915546,0.16192627,0,false,,,,,1464577524242,12
serverInfo,,,,,,,,,147,20.0,1464577524242,0
move,0.16435933444809336,0.0,2.9382267,0.37704468,0,false,,,,,1464577524292,50
serverInfo,,,,,,,,,147,20.0,1464577524292,0
animation,,,,,,,,,,,1464577524316,24
attack,,,,,,,,,,,1464577524316,0
attackInfo,,,,,,,0.9926392738941048,6.5587682617741345,,,1464577524316,0
serverInfo,,,,,,,,,147,19.904458598726116,1464577524316,0
move,0.1756910435714918,0.0,3.819028,0.47903442,0,false,,,,,1464577524342,26
serverInfo,,,,,,,,,147,20.0,1464577524342,0
move,0.14557960436635398,0.0,1.4852057,0.50006104,0,false,,,,,1464577524392,50
serverInfo,,,,,,,,,147,20.0,1464577524392,0
animation,,,,,,,,,,,1464577524441,49
attack,,,,,,,,,,,1464577524441,0
attackInfo,,,,,,,0.9981731659475006,7.145724040691733,,,1464577524441,0
serverInfo,,,,,,,,,147,19.805902158843335,1464577524441,0
move,0.1699704888601854,0.0,-0.031505585,0.035217285,0,false,,,,,1464577524442,1
serverInfo,,,,,,,,,147,20.0,1464577524442,0
move,0.1469717508484969,0.0,0.052672386,-0.055480957,0,false,,,,,1464577524492,50
serverInfo,,,,,,,,,147,20.0,1464577524492,0
animation,,,,,,,,,,,1464577524528,36
attack,,,,,,,,,,,1464577524528,0
attackInfo,,,,,,,0.9923469244595465,7.561470692634509,,,1464577524528,0
serverInfo,,,,,,,,,147,19.857029388403497,1464577524528,0
move,0.17195265260782477,0.0,-0.15387344,0.34466553,0,false,,,,,1464577524542,14
serverInfo,,,,,,,,,147,20.0,1464577524542,0
move,0.152459801654647,0.0,17.06083,-3.5202332,0,false,,,,,1464577524592,50
serverInfo,,,,,,,,,147,20.0,1464577524592,0
move,0.1898896457192336,0.0,-1.2000003,4.0500183,0,false,,,,,1464577524642,50
serverInfo,,,,,,,,,147,20.0,1464577524642,0
move,0.23371444699989752,0.0,0.5999999,9.899994,0,false,,,,,1464577524692,50
serverInfo,,,,,,,,,147,20.0,1464577524692,0
move,0.26306007164325784,0.0,-2.1000004,2.5500183,0,false,,,,,1464577524742,50
serverInfo,,,,,,,,,147,20.0,1464577524742,0
move,0.27408440803040435,0.0,-2.85,-3.2999878,0,false,,,,,1464577524792,50
serverInfo,,,,,,,,,147,20.0,1464577524792,0
move,0.2774954055375787,0.0,0.0,0.0,0,false,,,,,1464577524892,100
serverInfo,,,,,,,,,147,20.0,1464577524892,0
move,0.2793578103928098,0.0,0.0,0.0,0,false,,,,,1464577524892,0
serverInfo,,,,,,,,,147,20.0,1464577524892,0
move,0.2803746835618881,0.0,0.0,0.0,0,false,,,,,1464577524942,50
serverInfo,,,,,,,,,147,20.0,1464577524942,0
move,0.28092989637669064,0.0,0.0,0.0,0,false,,,,,1464577524992,50
serverInfo,,,,,,,,,147,20.0,1464577524992,0
move,0.2812330426087897,0.0,0.0,0.0,0,false,,,,,1464577525092,100
serverInfo,,,,,,,,,147,20.0,1464577525092,0
move,0.4813925284806828,0.41999998688697815,0.0,0.0,0,true,,,,,1464577525092,0
serverInfo,,,,,,,,,147,20.0,1464577525092,0
jump,,,,,,,,,,,1464577525092,0
move,0.28797726508753385,0.33319999363422426,0.0,0.0,0,false,,,,,1464577525192,100
serverInfo,,,,,,,,,147,20.0,1464577525192,0
move,0.2872245446968975,0.24813599859093927,4.35,-0.75,0,false,,,,,1464577525192,0
serverInfo,,,,,,,,,147,20.0,1464577525192,0
move,0.2862307985400321,0.1647732818260721,4.499999,-1.3499756,0,false,,,,,1464577525242,50
serverInfo,,,,,,,,,147,20.0,1464577525242,0
move,0.28573473426999385,0.08307781780646906,-1.1999998,-0.2999878,0,false,,,,,1464577525292,50
serverInfo,,,,,,,,,147,20.0,1464577525292,0
animation,,,,,,,,,,,1464577525341,49
attack,,,,,,,,,,,1464577525341,0
attackInfo,,,,,,,0.9570692169433392,4.453943945745691,,,1464577525341,0
serverInfo,,,,,,,,,147,19.805902158843335,1464577525341,0
move,0.2846380109402986,0.0,6.9907627,-17.539642,0,false,,,,,1464577525342,1
serverInfo,,,,,,,,,147,20.0,1464577525342,0
move,0.17511337591227516,-0.07840000152587834,-0.32694244,-0.83761597,0,false,,,,,1464577525392,50
serverInfo,,,,,,,,,147,20.0,1464577525392,0
animation,,,,,,,,,,,1464577525418,26
attack,,,,,,,,,,,1464577525418,0
attackInfo,,,,,,,0.9999806293233237,4.0065630197766895,,,1464577525418,0
serverInfo,,,,,,,,,147,19.896538002387587,1464577525418,0
move,0.1778547257005556,-0.15523200451660557,-1.4541082,-0.8820801,0,false,,,,,1464577525442,24
serverInfo,,,,,,,,,147,20.0,1464577525442,0
move,0.11363323772709144,-0.23052736891296632,-3.0472775,-0.55026245,0,false,,,,,1464577525492,50
serverInfo,,,,,,,,,147,20.0,1464577525492,0
animation,,,,,,,,,,,1464577525540,48
attack,,,,,,,,,,,1464577525540,0
attackInfo,,,,,,,0.9782703447426911,4.782363851790555,,,1464577525540,0
serverInfo,,,,,,,,,147,19.80982567353407,1464577525540,0
move,0.11745403963053747,-0.30431682745754074,-4.5676413,-0.5381317,0,false,,,,,1464577525542,2
serverInfo,,,,,,,,,147,20.0,1464577525542,0
move,0.07730446554486647,-0.37663049823865435,-6.41378,-0.30575562,0,false,,,,,1464577525592,50
serverInfo,,,,,,,,,147,20.0,1464577525592,0
animation,,,,,,,,,,,1464577525632,40
attack,,,,,,,,,,,1464577525632,0
attackInfo,,,,,,,0.9756372656074157,5.37418628838676,,,1464577525632,0
serverInfo,,,,,,,,,147,19.841269841269842,1464577525632,0
move,0.08343475927506461,-0.1040803780930375,-1.8599663,-0.28875732,0,false,,,,,1464577525642,10
serverInfo,,,,,,,,,147,20.0,1464577525642,0
move,0.11099383671045082,0.0,0.0,-0.1388855,0,false,,,,,1464577525692,50
serverInfo,,,,,,,,,147,20.0,1464577525692,0
animation,,,,,,,,,,,1464577525732,40
attack,,,,,,,,,,,1464577525733,1
attackInfo,,,,,,,0.9770802905468428,5.710976404263366,,,1464577525733,0
serverInfo,,,,,,,,,147,19.8373338623289,1464577525733,0
move,0.12604109871642244,0.0,-4.0267105,1.9465332,0,false,,,,,1464577525742,9
serverInfo,,,,,,,,,147,20.0,1464577525742,0
move,0.10672952556892312,0.0,-3.4139957,1.7219238,0,false,,,,,1464577525792,50
serverInfo,,,,,,,,,147,20.0,1464577525792,0
animation,,,,,,,,,,,1464577525818,26
attack,,,,,,,,,,,1464577525818,0
attackInfo,,,,,,,0.9967867993618742,5.536798716257885,,,1464577525818,0
serverInfo,,,,,,,,,147,19.896538002387587,1464577525818,0
move,0.058274327729348485,0.0,-2.1464977,1.2221985,0,false,,,,,1464577525842,24
serverInfo,,,,,,,,,147,20.0,1464577525842,0
move,0.0995275812351295,0.0,23.416159,-5.55954,0,false,,,,,1464577525992,150
serverInfo,,,,,,,,,147,20.0,1464577525992,0
move,0.102408008978637,0.0,0.0,0.0,0,false,,,,,1464577525992,0
serverInfo,,,,,,,,,147,20.0,1464577525992,0
move,0.12135323623033756,0.0,0.0,0.0,0,false,,,,,1464577526042,50
serverInfo,,,,,,,,,147,20.0,1464577526042,0
move,0.13256552904178953,0.0,0.0,0.30000305,0,false,,,,,1464577526092,50
serverInfo,,,,,,,,,147,20.0,1464577526092,0
move,0.14219000426999706,0.0,0.0,1.199997,0,false,,,,,1464577526192,100
serverInfo,,,,,,,,,147,20.0,1464577526192,0
move,0.14960468677906746,0.0,0.0,0.75,0,false,,,,,1464577526192,0
serverInfo,,,,,,,,,147,20.0,1464577526192,0
move,0.1571050137691543,0.0,0.0,1.2000122,0,false,,,,,1464577526242,50
serverInfo,,,,,,,,,147,20.0,1464577526242,0
move,0.1620462956151698,0.0,0.0,0.2999878,0,false,,,,,1464577526293,51
serverInfo,,,,,,,,,147,19.99600079984003,1464577526293,0
move,0.16646143073127107,0.0,-0.14999962,0.59999084,0,false,,,,,1464577526392,99
serverInfo,,,,,,,,,147,20.0,1464577526392,0
move,0.16887209478467646,0.0,0.0,0.0,0,false,,,,,1464577526442,50
serverInfo,,,,,,,,,147,20.0,1464577526442,0
move,0.1701883175107124,0.0,0.0,0.0,0,false,,,,,1464577526442,0
serverInfo,,,,,,,,,147,20.0,1464577526442,0
move,0.17090697520259646,0.0,0.0,0.0,0,false,,,,,1464577526492,50
serverInfo,,,,,,,,,147,20.0,1464577526492,0
animation,,,,,,,,,,,1464577526581,89
attack,,,,,,,,,,,1464577526581,0
attackInfo,,,,,,,0.9580482889291703,5.04651162221511,,,1464577526581,0
serverInfo,,,,,,,,,147,19.845207382417147,1464577526581,0
move,0.17129936234795196,0.0,0.0,0.0,0,false,,,,,1464577526592,11
serverInfo,,,,,,,,,147,20.0,1464577526592,0
move,0.1715136057542086,0.0,-13.972106,11.511169,0,false,,,,,1464577526593,1
serverInfo,,,,,,,,,147,19.99600079984003,1464577526593,0
move,0.0561878637714468,0.0,0.14788151,0.20654297,0,false,,,,,1464577526642,49
serverInfo,,,,,,,,,147,20.0,1464577526642,0
animation,,,,,,,,,,,1464577526707,65
attack,,,,,,,,,,,1464577526708,1
attackInfo,,,,,,,0.9999218456428262,4.404122125683017,,,1464577526708,0
serverInfo,,,,,,,,,147,19.93620414673046,1464577526708,0
move,0.03067857718260747,0.0,13.824224,-11.717712,0,false,,,,,1464577526743,35
serverInfo,,,,,,,,,147,19.99600079984003,1464577526743,0
move,0.11495704911863136,0.0,-1.3499994,7.8000183,0,false,,,,,1464577527892,1149
serverInfo,,,,,,,,,135,20.0,1464577527892,0
move,0.1410148089656751,0.0,0.0,0.0,0,false,,,,,1464577527942,50
serverInfo,,,,,,,,,135,20.0,1464577527942,0
move,0.1786373701078663,0.0,-0.75,0.9000244,0,false,,,,,1464577527992,50
serverInfo,,,,,,,,,135,20.0,1464577527992,0
move,0.20190030251614033,0.0,-1.3500004,1.0499878,0,false,,,,,1464577528092,100
serverInfo,,,,,,,,,135,20.0,1464577528092,0
move,0.2149816882346336,0.0,-0.4499998,0.1499939,0,false,,,,,1464577528093,1
serverInfo,,,,,,,,,135,19.99600079984003,1464577528093,0
move,0.22134966761581154,0.0,-0.4499998,-0.2999878,0,false,,,,,1464577528142,49
serverInfo,,,,,,,,,135,20.0,1464577528142,0
move,0.3018822737092304,0.0,-0.14999962,-0.2999878,0,false,,,,,1464577528193,51
serverInfo,,,,,,,,,135,19.99600079984003,1464577528193,0
move,0.3456813458607986,0.0,-0.14999962,-0.2999878,0,false,,,,,1464577528292,99
serverInfo,,,,,,,,,135,20.0,1464577528292,0
move,0.3689602565199568,0.0,0.0,-1.0499878,0,false,,,,,1464577528293,1
serverInfo,,,,,,,,,135,19.99600079984003,1464577528293,0
move,0.37975604202600977,0.0,-2.2500005,-2.699997,0,false,,,,,1464577528392,99
serverInfo,,,,,,,,,135,20.0,1464577528392,0
move,0.3830618075662535,0.0,-3.6000001,-3.0,0,false,,,,,1464577528442,50
