# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,-0.1597120835445689,-0.015555072702198913,0.74999905,-1.0499878,0,false,,,,,1464577896357,???
serverInfo,,,,,,,,,134,19.99600079984003,1464577896357,0
animation,,,,,,,,,,,1464577896403,46
attack,,,,,,,,,,,1464577896403,0
attackInfo,,,,,,,0.7438434042455573,3.9167756217894327,,,1464577896403,0
serverInfo,,,,,,,,,134,19.813750743015653,1464577896403,0
move,-0.19955891859662955,0.0,0.14999962,-0.2999878,0,false,,,,,1464577896407,4
serverInfo,,,,,,,,,134,19.99600079984003,1464577896407,0
animation,,,,,,,,,,,1464577896452,45
attack,,,,,,,,,,,1464577896453,1
attackInfo,,,,,,,0.6337344232083563,3.7376039131366237,,,1464577896453,0
serverInfo,,,,,,,,,134,19.813750743015653,1464577896453,0
move,-0.17802434380017385,0.0,0.0,-1.199997,0,false,,,,,1464577896457,4
serverInfo,,,,,,,,,134,19.99600079984003,1464577896457,0
animation,,,,,,,,,,,1464577896483,26
attack,,,,,,,,,,,1464577896483,0
attackInfo,,,,,,,0.5971705658564401,4.426577825176212,,,1464577896483,0
serverInfo,,,,,,,,,134,19.89258006763477,1464577896483,0
move,-0.17133323534420342,0.0,0.0,-0.1499939,0,false,,,,,1464577896507,24
serverInfo,,,,,,,,,134,19.99600079984003,1464577896507,0
animation,,,,,,,,,,,1464577896534,27
attack,,,,,,,,,,,1464577896534,0
attackInfo,,,,,,,0.5780437007407592,5.028994084480225,,,1464577896534,0
serverInfo,,,,,,,,,134,19.88862370723946,1464577896534,0
move,-0.05612877441826303,0.0,0.0,0.0,0,false,,,,,1464577896557,23
serverInfo,,,,,,,,,135,19.99600079984003,1464577896557,0
animation,,,,,,,,,,,1464577896621,64
attack,,,,,,,,,,,1464577896621,0
attackInfo,,,,,,,0.5556613166402729,5.8896669419385,,,1464577896621,0
serverInfo,,,,,,,,,135,19.940179461615156,1464577896621,0
animation,,,,,,,,,,,1464577896642,21
attack,,,,,,,,,,,1464577896642,0
attackInfo,,,,,,,0.5556613166402729,5.8896669419385,,,1464577896642,0
serverInfo,,,,,,,,,135,19.857029388403497,1464577896642,0
animation,,,,,,,,,,,1464577896697,55
attack,,,,,,,,,,,1464577896697,0
attackInfo,,,,,,,0.5661393297958581,5.911031601058159,,,1464577896697,0
serverInfo,,,,,,,,,135,19.8373338623289,1464577896697,0
animation,,,,,,,,,,,1464577896742,45
attack,,,,,,,,,,,1464577896742,0
attackInfo,,,,,,,0.582396254029683,5.905877653509444,,,1464577896742,0
serverInfo,,,,,,,,,135,19.857029388403497,1464577896742,0
move,-0.06869018961400286,0.0,-0.89999866,4.650009,0,false,,,,,1464577896757,15
serverInfo,,,,,,,,,135,19.99600079984003,1464577896757,0
animation,,,,,,,,,,,1464577896783,26
attack,,,,,,,,,,,1464577896783,0
attackInfo,,,,,,,0.6255898198300874,5.827382015522326,,,1464577896783,0
serverInfo,,,,,,,,,135,19.89258006763477,1464577896783,0
move,0.0,0.0,-3.3000002,11.100006,0,false,,,,,1464577896807,24
serverInfo,,,,,,,,,135,19.99600079984003,1464577896807,0
animation,,,,,,,,,,,1464577896868,61
attack,,,,,,,,,,,1464577896868,0
attackInfo,,,,,,,0.784708513420992,5.598668259829889,,,1464577896868,0
serverInfo,,,,,,,,,135,19.952114924181966,1464577896868,0
animation,,,,,,,,,,,1464577896894,26
attack,,,,,,,,,,,1464577896894,0
