# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.28911844005381937,0.0,0.0,-3.4228516,0,true,,,,,1464576882385,???
serverInfo,,,,,,,,,123,19.99600079984003,1464576882385,0
move,0.333480091848962,0.0,0.0,2.1881104,0,true,,,,,1464576882434,49
serverInfo,,,,,,,,,123,20.0,1464576882434,0
animation,,,,,,,,,,,1464576882443,9
attack,,,,,,,,,,,1464576882443,0
attackInfo,,,,,,,0.9984597282656715,2.7756010343708537,,,1464576882443,0
serverInfo,,,,,,,,,123,19.964064683569575,1464576882443,0
animation,,,,,,,,,,,1464576882473,30
attack,,,,,,,,,,,1464576882473,0
attackInfo,,,,,,,0.9984597282656715,2.7756010343708537,,,1464576882473,0
serverInfo,,,,,,,,,123,19.845207382417147,1464576882473,0
move,0.2876799593323298,0.0,-0.10854339,3.264038,0,true,,,,,1464576882484,11
serverInfo,,,,,,,,,123,20.0,1464576882484,0
animation,,,,,,,,,,,1464576882490,6
animation,,,,,,,,,,,1464576882490,0
move,0.27488485681829644,0.0,-0.12063602,3.2261353,0,true,,,,,1464576882534,44
serverInfo,,,,,,,,,123,20.0,1464576882534,0
animation,,,,,,,,,,,1464576882571,37
attack,,,,,,,,,,,1464576882571,0
attackInfo,,,,,,,0.9939447083244164,3.327939332711356,,,1464576882571,0
serverInfo,,,,,,,,,123,19.85308715505261,1464576882571,0
move,0.33263512086207214,0.0,0.016778976,3.8999634,0,true,,,,,1464576882584,13
serverInfo,,,,,,,,,123,20.0,1464576882584,0
animation,,,,,,,,,,,1464576882599,15
animation,,,,,,,,,,,1464576882621,22
attack,,,,,,,,,,,1464576882621,0
attackInfo,,,,,,,0.9933234102776054,3.162245909667708,,,1464576882621,0
serverInfo,,,,,,,,,123,19.85308715505261,1464576882621,0
animation,,,,,,,,,,,1464576882625,4
move,0.29254742998033834,0.0,-0.17461568,3.7000122,0,true,,,,,1464576882634,9
serverInfo,,,,,,,,,123,20.0,1464576882634,0
move,0.2796643698778851,0.0,-0.024134994,4.0,0,true,,,,,1464576882684,50
serverInfo,,,,,,,,,123,20.0,1464576882684,0
animation,,,,,,,,,,,1464576882707,23
attack,,,,,,,,,,,1464576882707,0
attackInfo,,,,,,,0.9650277109691896,4.162262019859662,,,1464576882707,0
serverInfo,,,,,,,,,123,19.908421262193908,1464576882707,0
move,0.3358771107744687,0.0,-0.025974423,4.0,0,true,,,,,1464576882734,27
serverInfo,,,,,,,,,123,20.0,1464576882734,0
animation,,,,,,,,,,,1464576882773,39
attack,,,,,,,,,,,1464576882773,0
attackInfo,,,,,,,0.9572369280419549,4.309348722849204,,,1464576882773,0
serverInfo,,,,,,,,,123,19.845207382417147,1464576882773,0
move,0.29258132587661834,0.0,-3.1630597,1.9337158,0,true,,,,,1464576882784,11
serverInfo,,,,,,,,,123,20.0,1464576882784,0
move,0.27802247346241415,0.0,-2.816326,0.91973877,0,true,,,,,1464576882834,50
serverInfo,,,,,,,,,123,20.0,1464576882834,0
animation,,,,,,,,,,,1464576882845,11
attack,,,,,,,,,,,1464576882845,0
attackInfo,,,,,,,0.9763091261944987,4.508071269595718,,,1464576882845,0
serverInfo,,,,,,,,,123,19.95609658750748,1464576882845,0
animation,,,,,,,,,,,1464576882873,28
