# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.0,0.0,-31.348755,-1.3860435,0,true,,,,,1464577388338,???
serverInfo,,,,,,,,,144,19.99600079984003,1464577388338,0
animation,,,,,,,,,,,1464577388366,28
attack,,,,,,,,,,,1464577388366,0
attackInfo,,,,,,,0.8982105634112747,3.0523162206342254,,,1464577388366,0
serverInfo,,,,,,,,,144,19.884668920262477,1464577388366,0
animation,,,,,,,,,,,1464577388415,49
attack,,,,,,,,,,,1464577388415,0
attackInfo,,,,,,,0.8973318382118181,3.0558705921983504,,,1464577388415,0
serverInfo,,,,,,,,,144,19.88862370723946,1464577388415,0
animation,,,,,,,,,,,1464577388478,63
move,0.0,0.0,0.17378998,-12.660408,0,true,,,,,1464577388488,10
serverInfo,,,,,,,,,144,19.99600079984003,1464577388488,0
animation,,,,,,,,,,,1464577388550,62
animation,,,,,,,,,,,1464577388577,27
move,0.0,0.0,5.5670834,-6.681305,0,true,,,,,1464577388638,61
serverInfo,,,,,,,,,144,19.99600079984003,1464577388638,0
animation,,,,,,,,,,,1464577388715,77
attack,,,,,,,,,,,1464577388715,0
attackInfo,,,,,,,0.9690933804595574,4.499503791027272,,,1464577388715,0
serverInfo,,,,,,,,,144,19.88862370723946,1464577388715,0
move,0.0,0.0,2.2053928,-8.809006,0,true,,,,,1464577388738,23
serverInfo,,,,,,,,,144,19.99600079984003,1464577388738,0
animation,,,,,,,,,,,1464577388827,89
attack,,,,,,,,,,,1464577388827,0
attackInfo,,,,,,,0.9661008437415647,4.754265751167459,,,1464577388827,0
serverInfo,,,,,,,,,144,19.841269841269842,1464577388827,0
animation,,,,,,,,,,,1464577388875,48
attack,,,,,,,,,,,1464577388875,0
attackInfo,,,,,,,0.9685105900714066,4.988587901287343,,,1464577388875,0
serverInfo,,,,,,,,,144,19.84914648670107,1464577388875,0
move,0.0,0.0,14.252486,19.336761,0,true,,,,,1464577388988,113
serverInfo,,,,,,,,,144,19.99600079984003,1464577388988,0
move,0.020054891938343644,0.0,4.7999997,-15.449997,0,true,,,,,1464577389138,150
serverInfo,,,,,,,,,144,19.99600079984003,1464577389138,0
jump,,,,,,,,,,,1464577389138,0
move,0.08329833431564282,0.05999999821185753,0.60000014,-1.050003,0,false,,,,,1464577389188,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577389188,0
move,0.057856018734938175,0.051999998867515274,0.75,-0.30000305,0,false,,,,,1464577389238,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577389238,0
move,0.06520650387669491,0.06159999881982969,3.9,-1.9500046,0,false,,,,,1464577389338,100
serverInfo,,,,,,,,,144,19.99600079984003,1464577389338,0
move,0.07113751535821677,0.06927999889612124,3.6,-1.3499908,0,false,,,,,1464577389388,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577389388,0
move,0.06308775336380279,0.07542399904870933,1.1999998,-0.30000305,0,false,,,,,1464577389438,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577389438,0
move,-0.001280651311390102,0.08033919924402255,0.1500001,-0.15000153,0,false,,,,,1464577389438,0
serverInfo,,,,,,,,,144,19.99600079984003,1464577389438,0
move,-0.0013331497320905328,0.08427135945886732,0.0,-0.15000153,0,false,,,,,1464577389488,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577389488,0
move,-0.003015250898897648,0.3400000110268593,1.2000003,-4.9500046,0,false,,,,,1464577389538,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577389538,0
move,0.013353809714317322,0.30000001192092896,1.1999989,-7.3499985,0,false,,,,,1464577389588,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577389588,0
move,0.02712842809970084,0.21560001587867816,0.4499998,-7.6500015,0,false,,,,,1464577389688,100
serverInfo,,,,,,,,,144,19.99600079984003,1464577389688,0
move,0.036180214142110145,0.13288801814746876,0.0,-2.550003,0,false,,,,,1464577389688,0
serverInfo,,,,,,,,,144,19.99600079984003,1464577389688,0
move,0.03986240301577482,0.05183025879328085,1.1999998,-7.5,0,false,,,,,1464577389738,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577389738,0
move,0.04088455141206637,-0.02760634691988173,0.29999924,-3.75,0,false,,,,,1464577389838,100
serverInfo,,,,,,,,,144,19.99600079984003,1464577389838,0
move,0.04181470647951713,-0.10545422203391297,0.0,0.0,0,false,,,,,1464577389838,0
serverInfo,,,,,,,,,144,19.99600079984003,1464577389838,0
move,0.042380048385215474,-0.18174514113049156,0.0,-0.44999695,0,false,,,,,1464577389938,100
serverInfo,,,,,,,,,144,19.99600079984003,1464577389938,0
move,0.042894509534242786,-0.2084271582298527,0.0,0.0,0,false,,,,,1464577389938,0
serverInfo,,,,,,,,,144,19.99600079984003,1464577389938,0
move,0.060677323036987474,0.0,0.0,0.0,0,true,,,,,1464577390038,100
serverInfo,,,,,,,,,144,19.99600079984003,1464577390038,0
move,0.05477314046219206,0.0,-0.4499998,0.0,0,true,,,,,1464577390038,0
serverInfo,,,,,,,,,144,19.99600079984003,1464577390038,0
move,0.059022195025523416,0.0,-1.6499996,2.4000092,0,true,,,,,1464577390088,50
serverInfo,,,,,,,,,144,19.99600079984003,1464577390088,0
animation,,,,,,,,,,,1464577390128,40
attack,,,,,,,,,,,1464577390128,0
attackInfo,,,,,,,0.6612347357847868,1.348769510112254,,,1464577390128,0
serverInfo,,,,,,,,,144,19.8373338623289,1464577390128,0
move,0.8046974000334792,0.333750000000002,-22.589993,23.011879,0,true,,,,,1464577390138,10
serverInfo,,,,,,,,,144,19.99600079984003,1464577390138,0
jump,,,,,,,,,,,1464577390138,0
animation,,,,,,,,,,,1464577390178,40
attack,,,,,,,,,,,1464577390178,0
attackInfo,,,,,,,0.857498083662855,1.9689785605722754,,,1464577390178,0
serverInfo,,,,,,,,,133,19.8373338623289,1464577390178,0
move,0.22805837571119625,0.24867500483989602,3.6694908,3.3635178,0,false,,,,,1464577390188,10
serverInfo,,,,,,,,,133,19.99600079984003,1464577390188,0
animation,,,,,,,,,,,1464577390227,39
attack,,,,,,,,,,,1464577390227,0
attackInfo,,,,,,,0.8686801086267312,2.2214505157852082,,,1464577390227,0
serverInfo,,,,,,,,,133,19.841269841269842,1464577390227,0
move,0.08895935356714446,0.16530150796032217,3.8040295,1.8940582,0,false,,,,,1464577390238,11
serverInfo,,,,,,,,,133,19.99600079984003,1464577390238,0
animation,,,,,,,,,,,1464577390304,66
animation,,,,,,,,,,,1464577390326,22
attack,,,,,,,,,,,1464577390326,0
attackInfo,,,,,,,0.9757117499877151,3.113549836399662,,,1464577390326,0
serverInfo,,,,,,,,,133,19.845207382417147,1464577390326,0
move,0.03069263713243231,0.08359547942811218,2.2149649,1.6106567,0,false,,,,,1464577390338,12
serverInfo,,,,,,,,,133,19.99600079984003,1464577390338,0
animation,,,,,,,,,,,1464577390378,40
attack,,,,,,,,,,,1464577390378,0
attackInfo,,,,,,,0.9947173886774692,3.437975036957189,,,1464577390378,0
serverInfo,,,,,,,,,133,19.8373338623289,1464577390378,0
move,0.08125690056083457,-0.07840000152587834,10.310511,3.6395645,0,false,,,,,1464577390388,10
serverInfo,,,,,,,,,133,19.99600079984003,1464577390388,0
animation,,,,,,,,,,,1464577390427,39
attack,,,,,,,,,,,1464577390427,0
attackInfo,,,,,,,0.9847568147510213,3.726235277659599,,,1464577390427,0
serverInfo,,,,,,,,,133,19.841269841269842,1464577390427,0
move,0.06507559200636237,-0.15523200451659847,2.3895717,1.4575424,0,false,,,,,1464577390438,11
serverInfo,,,,,,,,,133,19.99600079984003,1464577390438,0
animation,,,,,,,,,,,1464577390515,77
attack,,,,,,,,,,,1464577390515,0
attackInfo,,,,,,,0.9695337253736107,4.148850634506455,,,1464577390515,0
serverInfo,,,,,,,,,133,19.88862370723946,1464577390515,0
animation,,,,,,,,,,,1464577390527,12
attack,,,,,,,,,,,1464577390527,0
attackInfo,,,,,,,0.9695337253736107,4.148850634506455,,,1464577390527,0
serverInfo,,,,,,,,,133,19.841269841269842,1464577390527,0
move,0.08560265326316596,-0.23052736891296632,-6.6519504,-0.8387222,0,false,,,,,1464577390538,11
