# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.25403958664393933,0.0,-4.499995,10.200195,0,true,,,,,1464575154652,???
serverInfo,,,,,,,,,138,20.0,1464575154652,0
move,0.2595088161572452,0.0,-7.35,10.949829,0,true,,,,,1464575154702,50
serverInfo,,,,,,,,,138,20.0,1464575154702,0
animation,,,,,,,,,,,1464575154740,38
attack,,,,,,,,,,,1464575154740,0
attackInfo,,,,,,,-0.23185905272737953,0.8248261452748363,,,1464575154740,0
serverInfo,,,,,,,,,138,19.84914648670107,1464575154740,0
move,0.10530514008870995,0.0,3.9,-4.9500732,0,true,,,,,1464575154752,12
serverInfo,,,,,,,,,138,20.0,1464575154752,0
move,0.0734633788368555,0.0,4.3499985,1.3502197,0,true,,,,,1464575154802,50
serverInfo,,,,,,,,,138,20.0,1464575154802,0
move,0.13841091833286967,0.0,0.0,0.45007324,0,true,,,,,1464575154852,50
serverInfo,,,,,,,,,138,20.0,1464575154852,0
animation,,,,,,,,,,,1464575154861,9
attack,,,,,,,,,,,1464575154861,0
attackInfo,,,,,,,-0.0011415966494351506,1.158701681278183,,,1464575154861,0
serverInfo,,,,,,,,,138,19.964064683569575,1464575154861,0
move,0.09370557879430841,0.0,4.0499954,3.7506104,0,true,,,,,1464575154902,41
serverInfo,,,,,,,,,138,20.0,1464575154902,0
animation,,,,,,,,,,,1464575154938,36
move,0.06737812955621614,0.0,9.299997,7.350342,0,true,,,,,1464575154952,14
serverInfo,,,,,,,,,137,20.0,1464575154952,0
move,0.038801724352344635,0.0,2.2499962,17.249756,0,true,,,,,1464575155002,50
serverInfo,,,,,,,,,137,20.0,1464575155002,0
animation,,,,,,,,,,,1464575155076,74
animation,,,,,,,,,,,1464575155076,0
move,0.03613302518821371,0.0,-0.14999962,9.900391,0,true,,,,,1464575155102,26
serverInfo,,,,,,,,,137,20.0,1464575155102,0
animation,,,,,,,,,,,1464575155138,36
move,0.0,0.0,-2.5499935,17.700073,0,true,,,,,1464575155152,14
serverInfo,,,,,,,,,137,20.0,1464575155152,0
move,0.0,0.0,-0.14999962,47.84961,0,true,,,,,1464575155202,50
serverInfo,,,,,,,,,137,20.0,1464575155202,0
move,0.0,0.0,-0.14999962,69.14966,0,true,,,,,1464575155252,50
serverInfo,,,,,,,,,137,20.0,1464575155252,0
animation,,,,,,,,,,,1464575155289,37
move,0.0,0.0,-0.8999977,11.099731,0,true,,,,,1464575155302,13
serverInfo,,,,,,,,,137,20.0,1464575155302,0
move,0.5150948866509903,0.2763750000000016,-1.6499958,-25.500122,0,true,,,,,1464575155352,50
serverInfo,,,,,,,,,137,20.0,1464575155352,0
jump,,,,,,,,,,,1464575155352,0
move,0.27084330933935163,0.19244750374555508,-7.049988,-47.999634,0,false,,,,,1464575155402,50
serverInfo,,,,,,,,,137,20.0,1464575155402,0
animation,,,,,,,,,,,1464575155413,11
move,0.24646741860194687,0.11019855581540838,0.29999924,-30.600098,0,false,,,,,1464575155452,39
serverInfo,,,,,,,,,137,20.0,1464575155452,0
move,0.22428535739164523,0.029594585275091845,0.5999985,-1.2000732,0,false,,,,,1464575155502,50
serverInfo,,,,,,,,,137,20.0,1464575155502,0
move,0.2040996811085094,-0.04939730739181414,-3.149994,-17.400146,0,false,,,,,1464575155552,50
serverInfo,,,,,,,,,137,20.0,1464575155552,0
move,0.15858378342381307,-0.12680936371203444,-4.0499935,-27.750122,0,false,,,,,1464575155602,50
serverInfo,,,,,,,,,137,20.0,1464575155602,0
animation,,,,,,,,,,,1464575155622,20
attack,,,,,,,,,,,1464575155622,0
attackInfo,,,,,,,0.871162385686308,2.712869483248257,,,1464575155622,0
serverInfo,,,,,,,,,137,19.9203187250996,1464575155622,0
move,0.07943144184035766,-0.20267318038236937,0.8999977,4.800049,0,false,,,,,1464575155652,30
serverInfo,,,,,,,,,137,20.0,1464575155652,0
move,0.06677853220086227,-0.22973579334983896,0.0,-1440.0,0,false,,,,,1464575155702,50
serverInfo,,,,,,,,,137,20.0,1464575155702,0
move,-0.009941734234439892,0.0,-0.7499981,1436.9996,0,true,,,,,1464575155752,50
serverInfo,,,,,,,,,137,20.0,1464575155752,0
move,0.0143554210928869,0.0,-0.29999924,1.6502686,0,true,,,,,1464575155802,50
serverInfo,,,,,,,,,137,20.0,1464575155802,0
animation,,,,,,,,,,,1464575155842,40
attack,,,,,,,,,,,1464575155843,1
attackInfo,,,,,,,0.8377512290639577,2.1266845360232645,,,1464575155843,0
serverInfo,,,,,,,,,137,19.8373338623289,1464575155843,0
move,0.011721120895019865,0.0,0.14999962,0.15002441,0,true,,,,,1464575155852,9
serverInfo,,,,,,,,,137,20.0,1464575155852,0
move,0.031639625055969844,0.0,0.14999962,0.0,0,true,,,,,1464575155902,50
serverInfo,,,,,,,,,137,20.0,1464575155902,0
move,0.04205325319870923,0.0,-0.5999985,0.15002441,0,true,,,,,1464575155952,50
serverInfo,,,,,,,,,137,20.0,1464575155952,0
animation,,,,,,,,,,,1464575155989,37
attack,,,,,,,,,,,1464575155989,0
attackInfo,,,,,,,0.6908233721991843,3.313963638061676,,,1464575155989,0
serverInfo,,,,,,,,,137,19.85308715505261,1464575155989,0
move,0.6651697911769165,0.376375000000003,0.0,-1440.0,0,true,,,,,1464575156002,13
serverInfo,,,,,,,,,137,20.0,1464575156002,0
jump,,,,,,,,,,,1464575156002,0
move,0.35768975057863805,0.29044750565290656,0.0,1440.15,0,false,,,,,1464575156052,50
serverInfo,,,,,,,,,137,20.0,1464575156052,0
move,0.29801335112735394,0.20623855955381742,0.0,0.30004883,0,false,,,,,1464575156102,50
serverInfo,,,,,,,,,137,20.0,1464575156102,0
move,0.23536221839344407,0.12371379077054456,0.14999962,1.3502197,0,false,,,,,1464575156152,50
serverInfo,,,,,,,,,137,20.0,1464575156152,0
animation,,,,,,,,,,,1464575156184,32
attack,,,,,,,,,,,1464575156184,0
attackInfo,,,,,,,0.8947447085656401,4.846009917897824,,,1464575156184,0
serverInfo,,,,,,,,,137,19.87281399046105,1464575156184,0
move,0.20700602127723755,0.04283951578890566,0.74999905,0.60009766,0,false,,,,,1464575156202,18
serverInfo,,,,,,,,,137,20.0,1464575156202,0
move,0.1828320274470583,-0.03641727523564953,-1.4999962,4.9503174,0,false,,,,,1464575156252,50
serverInfo,,,,,,,,,137,20.0,1464575156252,0
move,0.13882833371673176,-0.11408893195141445,-1.0499973,6.9001465,0,false,,,,,1464575156302,50
serverInfo,,,,,,,,,137,20.0,1464575156302,0
animation,,,,,,,,,,,1464575156309,7
move,0.12633378732314515,-0.190207157014342,0.44999886,-3.000122,0,false,,,,,1464575156352,43
serverInfo,,,,,,,,,137,20.0,1464575156352,0
move,0.11496374977729173,-0.26480301902784475,0.44999886,-1.3500977,0,false,,,,,1464575156402,50
serverInfo,,,,,,,,,137,20.0,1464575156402,0
move,0.0769152136919602,-0.33790696522388686,0.0,-1440.0,0,false,,,,,1464575156452,50
serverInfo,,,,,,,,,137,20.0,1464575156452,0
move,0.033971762883497014,-0.09619102331303964,-0.44999886,1439.5499,0,false,,,,,1464575156502,50
serverInfo,,,,,,,,,137,20.0,1464575156502,0
move,0.00650924981891432,0.0,0.0,-1440.0,0,true,,,,,1464575156552,50
serverInfo,,,,,,,,,137,20.0,1464575156552,0
animation,,,,,,,,,,,1464575156571,19
move,-1.792637598230229E-4,0.0,0.0,0.0,0,true,,,,,1464575156602,31
serverInfo,,,,,,,,,137,20.0,1464575156602,0
move,-9.906391876430831E-4,0.0,-0.89999866,1440.3,0,true,,,,,1464575156652,50
serverInfo,,,,,,,,,137,20.0,1464575156652,0
move,-0.006809956585148491,0.0,-0.44999886,0.15002441,0,true,,,,,1464575156702,50
serverInfo,,,,,,,,,137,20.0,1464575156702,0
move,-0.010470653218865422,0.0,0.0,0.15002441,0,true,,,,,1464575156752,50
serverInfo,,,,,,,,,137,20.0,1464575156752,0
move,-0.014350494050432872,0.0,-0.3000002,0.60009766,0,true,,,,,1464575156802,50
serverInfo,,,,,,,,,137,20.0,1464575156802,0
animation,,,,,,,,,,,1464575156825,23
move,-0.009163604291109628,0.0,0.0,-1440.0,0,true,,,,,1464575156852,27
serverInfo,,,,,,,,,137,20.0,1464575156852,0
move,-0.006331562153539139,0.0,0.0,0.0,0,true,,,,,1464575156902,50
serverInfo,,,,,,,,,137,20.0,1464575156902,0
move,-0.009726100863266751,0.0,-0.4500003,1439.2499,0,true,,,,,1464575156952,50
